"id","language","text","text_normalized","caesar","vigenere","sp_network","char_count"
"304","it","Chi va con lo zoppo impara a zoppicare, dicono i saggi del villaggio","Chi va con lo zoppo impara a zoppicare, dicono i saggi del villaggio","Fkl yd frq or crssr lpsdud d crsslfduh, glfrqr l vdjjl gho yloodjjlr","Fwz pd rfh od qisef cperld p qisezwdgv, xlrfhr x jujvz xha mcoarajxf","hbu Gj qfg vf lyxms gtlhhu v fxbldsjrf, iqurtg a uzrie zjm qoeeryuzg","68"
"305","it","La madre degli imbecilli è sempre incinta e non smette mai di partorire","La madre degli imbecilli e sempre incinta e non smette mai di partorire","Od pdguh ghjol lpehflool h vhpsuh lqflqwd h qrq vphwwh pdl gl sduwruluh","Op duggv xhvcc lbsyfxcfl t jypeiy lctcqir y qde mptknh brc gx guuifllgv","ah dYfrd imikq mctsgrpgm c tzclmh vmtpcvf x uox lwpkhn mqu ar vddtagdti","71"
"306","it","La gatta frettolosa fa i gattini ciechi e poi se ne pente","La gatta frettolosa fa i gattini ciechi e poi se ne pente","Od jdwwd iuhwwrorvd id l jdwwlql flhfkl h srl vh qh shqwh","Op xuwir zutknrafmd ur c jpknlcz wlttbl t gil hv hh evhwt","ah vYrjb uwpeanougm ah f uwznbmp tjktpv p qtd qt iq lpqib","57"
"307","it","Tutto è bene quel che finisce bene, diceva il saggio al re","Tutto e bene quel che finisce bene, diceva il saggio al re","Wxwwr h ehqh txho fkh ilqlvfh ehqh, glfhyd lo vdjjlr do uh","Wjknr t syqt hoha tbh uzhlhty etey, gxtyyp zf vpxald rf ut","wzpBn c usyp exqk qpq aqqjctp cprl, lcdpgh hc jeirgf pt ua","58"
"308","it","Il fine giustifica i mezzi, sosteneva il principe del realismo politico","Il fine giustifica i mezzi, sosteneva il principe del realismo politico","Lo ilqh jlxvwlilfd l phccl, vrvwhqhyd lo sulqflsh gho uhdolvpr srolwlfr","La wcqt xcxhkcixtu l bvtcx, jivivhhkr co eicqrzjh svf utrflhdi sdccwxti","me pTbm xrmqrrnavp p krtiv, mzqvniimq um luyvzxjg spq igauvqft fmsmvrbp","71"
"309","it","Chi la dura la vince, chi si ferma è perduto per sempre","Chi la dura la vince, chi si ferma e perduto per sempre","Fkl od gxud od ylqfh, fkl vl ihupd h shugxwr shu vhpsuh","Fwz fd slld ar plcty, fwz ml uvlpp v jhguowd gyu hvgsgv","gbs Gj tfth em fuctp, oba gj ttizh d hiyqacf qbd daidsi","55"
"310","it","L'uomo propone e Dio dispone con infinita saggezza e misericordia","L'uomo propone e Dio dispone con infinita saggezza e misericordia","O'xrpr sursrqh h Glr glvsrqh frq lqilqlwd vdjjhccd h plvhulfrugld","O'jfgr eiisdey h Szi gxjjrcv wrc zhixecwp jujvvtcp v glhvllrflgxr","d'zlYg vuvcfSs l vqj zrmdzbu iqm rujmvlah ibzpzidh q mittiturtgdu","65"
"311","it","La necessità non conosce legge e trasforma i codardi in eroi","La necessita non conosce legge e trasforma i codardi in eroi","Od qhfhvvlwd qrq frqrvfh ohjjh h wudvirupd l frgdugl lq hurl","Op eyftjmlir hrc tiqdjwh avajt v nupjzrgdu l rfxdguc lc vlrx","ch pYlogzqvm tuv upbfexz eqiwp h zijazaduu f rtgmdmf at tiru","60"
"312","it","Il lupo perde il pelo ma non il vizio, è nella sua natura profonda","Il lupo perde il pelo ma non il vizio, e nella sua natura profonda","Lo oxsr shugh lo shor pd qrq lo ylclr, h qhood vxd qdwxud surirqgd","La cosd gyusv co evfr br hrc zf yxqcr, t eyoar mxp euwjiu sgfzrcuu","ye fTmc sdmsl ai gyiq km uug uj mrpcx, c uloeh yua rlazdb vjsgamua","66"
"313","it","Chi dorme non piglia pesci né fortuna né gloria alcuna","Chi dorme non piglia pesci ne fortuna ne gloria alcuna","Fkl gruph qrq sljold shvfl qh iruwxqd qh joruld dofxqd","Fwz xrgdy qde jlvccd evmfx ey idinxcr hh vciuxr uorlhd","rbd Gjcuf zfi xlmtmo lrfic gl wfmvvqr uv irqmaa uquytf","54"
"314","it","Il buon giorno si vede dal mattino e l'uomo buono si vede dall'infanzia","Il buon giorno si vede dal mattino e l'uomo buono si vede dall'infanzia","Lo exrq jlruqr vl yhgh gdo pdwwlqr h o'xrpr exrqr vl yhgh gdoo'lqidqcld","La sorc xcrgei vx mygt uuo brnwxei h a'lipd sorcf ml kvxh srfo'xezdcqcd","ye mTsm urvdru lc ioap kda wyuvreb l v'qtyf mhsou gr nsti gquj'rmylmfxf","71"
"315","it","Il tempo è galantuomo e prima o poi rivela tutto ciò che è nascosto","Il tempo e galantuomo e prima o poi rivela tutto cio che e nascosto","Lo whpsr h jdodqwxrpr h sulpd r srl ulyhod wxwwr flr fkh h qdvfrvwr","La kypef y jpcuqilipd v juxdu r efc uxmyop kowif wld tbh t euvrfmwd","ce lTnch g ahvzmvxtzf r hiaaf m lru gcaoyh vynbb gkf ptp a qloufigb","67"
"316","it","Chi non risica non rosica e resta sempre dove si trova","Chi non risica non rosica e resta sempre dove si trova","Fkl qrq ulvlfd qrq urvlfd h uhvwd vhpsuh gryh vl wuryd","Fwz hrc icvxtu qde lrhzwd t iyvir mhbglh sfph hz nudmu","qbm Gjm uvarfi ptx lbqpuj c fvovk iutqdh sqqg wq jafao","54"
"317","it","La speranza è l'ultima a morire nel cuore degli uomini giusti","La speranza e l'ultima a morire nel cuore degli uomini giusti","Od vshudqcd h o'xowlpd d pruluh qho fxruh ghjol xrplql jlxvwl","Op jjhgrhcp v f'xakcpp r grgzlh cvf fjflh svaox lipxec jxlmwx","zh dYzqqugh e m'imrndh d hutujg mzq itgge srqiv ytmrrh loztrb","61"
"318","it","Chi troppo vuole nulla stringe e alla fine rimane con le mani vuote","Chi troppo vuole nulla stringe e alla fine rimane con le mani vuote","Fkl wurssr yxroh qxood vwulqjh h dood ilqh ulpdqh frq oh pdql yxrwh","Fwz nudgjr kliot eooar mwgzhjt v uoar zlcv llbrhh rfh ot duqx moriv","wbf Gjzadv nputy yloed yuqbjap e zijy utmk tiqtuq upq ga yfyr vxoui","67"
"319","it","La vita è come l'eco: restituisce ciò che tu dai al mondo","La vita e come l'eco: restituisce cio che tu dai al mondo","Od ylwd h frph o'hfr: uhvwlwxlvfh flr fkh wx gdl do prqgr","Op mcwp v wrbv f'hrf: lhhkcwjzmft tcr ryy wj uul pc grcui","mh hYob b igku u'itq: gmqzqnobjmp ugp cuc az hba dt mvmua","57"
"320","it","Non dire gatto se non ce l'hai nel sacco e ben legato","Non dire gatto se non ce l'hai nel sacco e ben legato","Qrq gluh jdwwr vh qrq fh o'kdl qho vdffr h ehq ohjdwr","Qde xlgv adiki vt eiq rv f'kpz hha jufrf y ete fhvrnr","rfd Xlet ivvpf nv ilg uh x'iqn jae uqzcg g gpi llwquu","53"
"321","it","La fortuna aiuta gli audaci che non si fermano davanti agli ostacoli","La fortuna aiuta gli audaci che non si fermano davanti agli ostacoli","Od iruwxqd dlxwd jol dxgdfl fkh qrq vl ihupdqr gdydqwl djol rvwdfrol","Op wiuilhd pzowp xfl plxdrz wkt eiq hz zhgduqd uuypenl pxfl djndrffl","vh vYbqaty hhfjg brr huttbf jvp qnl jx jadfqfa xawhhcl gtrw futzgfgt","68"
"322","it","Chi va piano va sano e va lontano senza troppe cadute","Chi va piano va sano e va lontano senza troppe cadute","Fkl yd sldqr yd vdqr h yd orqwdqr vhqcd wurssh fdgxwh","Fwz pd ezuqd mu vpei h kr frckuqd jyqor nudgjh rrxxiv","hbl Gj afjaf hx ovil g nm quauncf yxzwx uzfuad rquvri","53"
"323","it","L'abito non fa il monaco ma spesso lo representa agli altri","L'abito non fa il monaco ma spesso lo representa agli altri","O'delwr qrq id lo prqdfr pd vshvvr or uhsuhvhqwd djol dowul","O'pscwd eiq ur co bfhdrf gd hgyvhf fr gvjutjyqir ujaz uoiic","m'hfYsv blm ak xu qygduq fg cfdgqd ig zuicpvazax uaev zjmyv","59"
"324","it","Non è tutto oro quel che luccica e non ogni sorriso è sincero","Non e tutto oro quel che luccica e non ogni sorriso e sincero","Qrq h wxwwr rur txho fkh oxfflfd h qrq rjql vruulvr h vlqfhur","Qde y wjknr dii tjvf fwv fxrtcfp v hrc faqx jiugzmr t jcqrvlr","cfz X lwbnv fzu vgpi gbu gimrpqh m gie ugvr dxzoajm p uuztxiu","61"
"325","it","La speranza è il pane dei poveri e l'acqua degli assetati","La speranza e il pane dei poveri e l'acqua degli assetati","Od vshudqcd h lo sdqh ghl sryhul h o'dftxd ghjol dvvhwdwl","Op jjhgrhcp v co erhh svc sdmyux v f'drhod svaox rmvtkuwx","zh dYzqqumh l mi qyum sfq icsogr u a'iyfqe srfio yuaprinb","57"
"326","it","Chi si assomiglia si piglia e chi si piglia si assomiglia","Chi si assomiglia si piglia e chi si piglia si assomiglia","Fkl vl dvvrpljold vl sljold h fkl vl sljold vl dvvrpljold","Fwz ml pjmrbzaoxr ml ezaoxr y fwz ml ezaoxr ml pjmrbzaoxr","obh Gj otzekrujoy ue lrtjcy u obl gj etjorh yu otzekrujyu","57"
"327","it","Il silenzio vale oro quando le parole valgono piombo","Il silenzio vale oro quando le parole valgono piombo","Lo vlohqclr ydoh rur txdqgr oh sduroh ydojrqr slrper","La jcotetld muot flr fluqsf fh erlrav pdaxiqd gcrbsi","me pTzpylaf ptot yga gsutgx gt lequhu iveffrm xdvkus","52"
"328","it","La vita è un viaggio e ognuno di noi è il protagonista del proprio","La vita e un viaggio e ognuno di noi e il protagonista del proprio","Od ylwd h xq yldjjlr h rjqxqr gl qrl h lo surwdjrqlvwd gho sursulr","Op mcwp v oq kzujvzi h dxhxcf xl cfc h xc judkujdecvir xha glreicr","mh hYoy b ia nixjvzj q fmqrrr gm mrt g zq maffanmzlrve iut qdmluvu","66"
"329","it","Chi trova la pace dentro di sé ha trovato il tesoro più grande","Chi trova la pace dentro di se ha trovato il tesoro piu grande","Fkl wuryd od sdfh ghqwur gl vh kd wurydwr lo whvrur slx judqgh","Fwz nudmu op guft uyqiii gx jy kp klrkrnr xc nhhflr ezo jgrhgt","wbf Gjaao ah pydc gavvrx vc dz th nnnwuuw rq umtqgy ldu jqzupd","62"
"330","ro","Cine se scoală de dimineață departe ajunge în viață","Cine se scoala de dimineata departe ajunge in viata","Flqh vh vfrdod gh glplqhdwd ghsduwh dmxqjh lq yldwd","Fxey vt jwrpcu gt ucpxeydir xherlwt rdxcxy lc mcdir","crpG lb izahpu mm dacrvhlrf utlpquf bucmmr rm tovfu","51"
"331","ro","Răbdarea este mama tuturor virtuților și sora înțelepciunii","Rabdarea este mama tuturor virtutilor si sora intelepciunii","Udegduhd hvwh pdpd wxwxuru yluwxwloru vl vrud lqwhohsflxqll","Upsxdgvu hhky ppdu wjkoudi plgkowxciu hz mrgr cqivfhetcxczc","rhdAsafi cqhq nahf yzfbnha vydrtnvbmo qd ajmu ugvlximqpmmrj","59"
"332","ro","Educația este cea mai bună moștenire pe care o poți lăsa copilului tău","Educatia este cea mai buna mostenire pe care o poti lasa copilului tau","Hgxfdwld hvwh fhd pdl exqd prvwhqluh sh fduh r srwl odvd frsloxoxl wdx","Hslwdizu hhky ftr gdx soqp divivhlgv jh rrlh d giwx cuvp tisxcoojz ndj","bsvQtafj cqpq ndg uyr hfsv xfqvdiizt it ufqu v qdar hbmv ipyrzsmwy jzf","70"
"333","ro","Dragostea adevărată nu îmbătrânește niciodată în inimile curate","Dragostea adevarata nu imbatraneste niciodata in inimile curate","Gudjrvwhd dghydudwd qx lpedwudqhvwh qlflrgdwd lq lqlploh fxudwh","Ggrarhkyd puyypiuwp eo lbsuwgrhhhky qxtcrsrnd xe cqxdcot toupky","edqDucunc hhfaacvyh kb latsqdqbucqn mrsxpwuum rr flmxfyp hypcan","63"
"334","ro","Înțelepciunea este mai prețioasă decât aurul și pietrele prețioase","Intelepciunea este mai pretioasa decat aurul si pietrele pretioase","Lqwhohsflxqhd hvwh pdl suhwlrdvd ghfdw dxuxo vl slhwuhoh suhwlrdvh","Lckyotgwljeyd tjnh brc sgvnldrmd svwdi roujc ml ezywgvfh eiywxfuvt","cmpTnbydczptl wfzm kdq uwsiofstu bfiyv zfuoa mc ldtjgbic lrqvabgpi","66"
"335","ro","Nu există vânt favorabil pentru cel care nu știe unde se îndreaptă","Nu exista vant favorabil pentru cel care nu stie unde se indreapta","Qx halvwd ydqw idyrudelo shqwux fho fduh qx vwlh xqgh vh lqguhdswd","Qj vrlhku ypen ipmiupsco evhwgl wha tuut eo vizy xcuy vt zhggvusir","uz qXiatn whhc lvvomhlas qyibde bta qpyp va lcij cmpr aq ijadvdisu","66"
"336","ro","Fiecare om este arhitectul propriei sale fericiri și al propriului destin","Fiecare om este arhitectul propriei sale fericiri si al propriului destin","Ilhfduh rp hvwh duklwhfwxo sursulhl vdoh ihulflul vl do sursulxoxl ghvwlq","Ixvwdgv ip tjnh piblivwwjc judglltz mdav zhgzwlgz ml pc judglljcol svmwxe","brdVivf iw phhz kqvbvztizb mtfpadot jjed fibqjodh tj zt mtfzadytmo srtibl","73"
"337","ro","Prietenia este un suflet care trăiește în două trupuri distincte","Prietenia este un suflet care traieste in doua trupuri distincte","Sulhwhqld hvwh xq vxiohw fduh wudlhvwh lq grxd wuxsxul glvwlqfwh","Sgzywtecd tjnh je mxucyw rrlh iiultjnh xe xrjr nujgoux ucvizhfiv","cdpSjmblw pzfz oq lcaurm tbua vpqvwtzr rz qlwu uyzradm aaqvvijgi","64"
"338","ro","Cartea este cel mai bun prieten al omului în clipele de singurătate","Cartea este cel mai bun prieten al omului in clipele de singuratate","Fduwhd hvwh fho pdl exq sulhwhq do rpxoxl lq folshoh gh vlqjxudwdwh","Fpinhp vmwt tyo brc eje juxvnhc rf rblfxx zh fazjhav xh hzhjjiuwpky","whhGvo qicp kbp myu zzr llwaigm kq ugutqr er jzgjreq qi qqjazhzvcbn","67"
"339","ro","Omul nu este altceva decât ceea ce face din sine prin muncă și voință","Omul nu este altceva decat ceea ce face din sine prin munca si vointa","Rpxo qx hvwh dowfhyd ghfdw fhhd fh idfh glq vlqh sulq pxqfd vl yrlqwd","Rblf qj vmwt rfwrvpd svwdi tyhp ty ipty gxe mlcv juxe gxctu vx milcku","gkzU to xigp ubuhbib svfic fpch hq pcvp orm dlzt idrm alarp vr mioatn","69"
"340","ro","Fericirea nu este o stație la care ajungi ci o metodă de a călători","Fericirea nu este o statie la care ajungi ci o metoda de a calatori","Ihulfluhd qx hvwh r vwdwlh od fduh dmxqjl fl r phwrgd gh d fdodwrul","Iticfxiyd cl yviv i virnlt cu fpiy dylhjx tc r bvnrsr xh p tuopkiux","mprVvcgvc mv ftvi i wvpiua tm chcg vqftmr kz p wuirsh uu a qpvhryna","67"
"341","ro","Adevărul este cel mai bun avocat în orice tribunal al vieții","Adevarul este cel mai bun avocat in orice tribunal al vietii","Dghyduxo hvwh fho pdl exq dyrfdw lq rulfh wulexqdo do ylhwll","Dsvpdglf hhky ftc gdx soq pmifpk cq dicft kllqlhda rf yxvnlx","hsdFigft cqpq ndg myr hfs vxomhf gn mxvtp xgnqttge rf uwcirt","60"
"342","ro","Cel ce plantează un copac iubește pe alții mai mult decât pe sine","Cel ce planteaza un copac iubeste pe altii mai mult decat pe sine","Fho fh sodqwhdcd xq frsdf lxehvwh sh dowll pdl pxow ghfdw sh vlqh","Ftc wh ecuqivucp lh fdguf xlvhhky st rfwxz gdx dooi uyfpk jh hzhh","bpl Gm aqmavhxiq mt afrgd igtcqpq ng sudrr bjy ffcv hyazg nq qqjq","65"
"343","ro","Curajul este frica care și-a spus rugăciunea și a mers înainte","Curajul este frica care si-a spus rugaciunea si a mers inainte","Fxudmxo hvwh iulfd fduh vl-d vsxv uxjdflxqhd vl d phuv lqdlqwh","Fjiumjc yviv zuxtu fpiy vx-r msjj lxvrwljeyd hz u ptim lcrcqiv","azzGvco mjvr iiaap chrg vo-i utzi szbruczqtl af j opmh vmtuvxi","62"
"344","ro","Speranța este ultimul lucru care moare în inima unui om drept","Speranta este ultimul lucru care moare in inima unui om drept","Vshudqwd hvwh xowlpxo oxfux fduh prduh lq lqlpd xqxl rp guhsw","Vevldcku hhky xakcpjc fxrio fpiy pdrlh xe cqxdu xclc rb ulhek","tlmIiafn cqeq nmrngzu hmyrv chfg vthum rr qlaxf mmkr tt ualqn","61"
"345","ro","Sufletul care vede frumusețea poate rămâne uneori singur și fericit","Sufletul care vede frumusetea poate ramane uneori singur si fericit","Vxiohwxo fduh yhgh iuxpxvhwhd srdwh udpdqh xqhrul vlqjxu vl ihulflw","Vjwfhilf fpiy ytuy iglgxhvnhp gidiv ldbrhh jeyrgz mlcxou hz zhgzwli","gzvIbgqt chpg vcca ddqvtwrivh vqdtf iqkzfu cqlodm ujytrj qd ajbqjvt","67"
"346","ro","Cu răbdare și cu trudă omul tot ce vrea obține în această viață","Cu rabdare si cu truda omul tot ce vrea obtine in aceasta viata","Fx udegduh vl fx wuxgd rpxo wrw fh yuhd rewlqh lq dfhdvwd yldwd","Fj iuesrlh hz wx iiogp fgxa kiw rv putr ieizhh xe uftrmwp mcdir","az sGvtlub qv qj yrvdh edgv rnh up biva uqvrlj aq lophgum bovfu","63"
"347","ro","Omul sfințește locul prin munca sa și prin dragostea față de semeni","Omul sfinteste locul prin munca sa si prin dragostea fata de semeni","Rpxo vilqwhvwh orfxo sulq pxqfd vd vl sulq gudjrvwhd idwd gh vhphql","Rblf vuzhwtjnh afwxa gllc doqrr md hz juxe xupxivivu ipku gt jyptec","gkaU tqijwpebz bqgte mrdy tfouq xu zf jrrh alvaravhi iavn cp pdzmhl","67"
"348","ro","Vorba dulce mult aduce și deschide uși pe care nimeni nu le poate forța","Vorba dulce mult aduce si deschide usi pe care nimeni nu le poate forta","Yrued gxofh pxow dgxfh vl ghvfklgh xvl sh fduh qlphql qx oh srdwh iruwd","Ydivd slfft dooi rxxrv ml svmfwzxh jjc st tuut ecptec qj cy sdrnh uflwp","ifsCv gftyp vgfr yuous ri otirbzgj mqz ap pspm almpzh lc xm wfasu tqghb","71"
"349","ro","Nu lăsa pe mâine ce poți face azi cu inimă și devotament","Nu lasa pe maine ce poti face azi cu inima si devotament","Qx odvd sh pdlqh fh srwl idfh dcl fx lqlpd vl ghyrwdphqw","Qj cuvp gy ppzhh rv jriz zdrv ucx to lczgd hz xhkfndbvhw","az hXmc id qhuhj zq ijvu ujaf iyr mm pdtjr qn fjwqgqkfib","56"
"350","ro","Unde nu-i cap vai de picioare și vai de cel care nu gândește","Unde nu-i cap vai de picioare si vai de cel care nu gandeste","Xqgh qx-l fds ydl gh slflrduh vl ydl gh fho fduh qx jdqghvwh","Xcuy qj-z wde mul sv jlrzidgv ml krc gt tyo rrlh cl adcuyviv","cmzR ab-x jal sfo zt ivudtjof im npt uc dpt umyu eq tcmvfaii","60"
"351","ro","Apa trece, pietrele rămân ca martore ale timpului care trece","Apa trece, pietrele raman ca martore ale timpului care trece","Dsd wuhfh, slhwuhoh udpdq fd pduwruh doh wlpsxoxl fduh wuhfh","Der nutty, sxvnutcy upduq rr gdgkiut rfh izgsjcol rrlh iiyft","wlp Fucap, wrpsicam ahuaf dx uvdpfng aud vzqjysmt uvtu cqvpg","60"
"352","ro","Cel mai înalt turn începe de la fundație bine pusă în piatră","Cel mai inalt turn incepe de la fundatie bine pusa in piatra","Fho pdl lqdow wxuq lqfhsh gh od ixqgdwlh elqh sxvd lq sldwud","Ftc gdx zhdak nxge cqrvjh sv fd ulhgpkch qzhh elmd xe jlpkld","dpr Gmq fjwed fnmr lzusxi gq iq ahftmdnq xlqj oqtz rh flttnf","60"
"353","ro","Cine caută cu perseverență și credință cu siguranță găsește","Cine cauta cu perseverenta si credinta cu siguranta gaseste","Flqh fdxwd fx shuvhyhuhqwd vl fuhglqwd fx vljxudqwd jdvhvwh","Fxey fplnd rl jhgjyytiyqir ml riygxend rl mlvlldcku jpjyviv","crhG lwgtz ud ftcqzcpvcvox uc urtvwdlo ui fttttamhf nczzvii","59"
"354","ro","Viața este prea scurtă pentru a fi mică și fără sens","Viata este prea scurta pentru a fi mica si fara sens","Yldwd hvwh suhd vfxuwd shqwux d il plfd vl idud vhqv","Yxrnd tjnh eiyd htouir jhcklx p wc pxtu vx wuup jyqh","wrpCu wfzc lqqv yfpzvm autqnm h rr bahp ar hibc azqx","52"
"355","ro","Bogăția cea mai mare este sănătatea sufletului și a trupului","Bogatia cea mai mare este sanatatea sufletului si a trupului","Erjdwld fhd pdl pduh hvwh vdqdwdwhd vxiohwxoxl vl d wuxsxoxl","Edxuwxr whp dul brlh tjnh hrhdirnhp joiavnxalc vx r nujgoojz","afrLrbb uah kqf ttuw pqqz qquwvhfuy qzweevimrt wr z iuyadzyj","60"
"356","ro","Adevărul triumfă totdeauna în cele din urmă, chiar dacă întârzie","Adevarul triumfa totdeauna in cele din urma, chiar daca intarzie","Dghyduxo wulxpid wrwghdxqd lq fhoh glq xupd, fkldu gdfd lqwduclh","Dsvpdglf wgzopur nriuydjeu lc tyot ucq jigd, rycdg uufp zhwpitlt","hsdFigft ydabjwh ucvzuaafl cm ptpm yad zuxv, mfcad hfaq gjphpbvt","64"
"357","ro","Munca înnobilează omul și îl face vrednic de respectul celorlalți","Munca innobileaza omul si il face vrednic de respectul celorlalti","Pxqfd lqqrelohdcd rpxo vl lo idfh yuhgqlf gh uhvshfwxo fhoruodowl","Pjewd xehrqzfhpqu rblf vx zf ipty ygvxqxt xh gvmsttnxa tyodifdakc","bzrHl qflgxhujaqx gkru tg ij chdv prcirrd xp oqiwpespc rpgfeyvmfn","65"
"358","ro","Iubirea mișcă muntele când este sinceră și profundă","Iubirea misca muntele cand este sincera si profunda","Lxeluhd plvfd pxqwhoh fdqg hvwh vlqfhud vl surixqgd","Ljscutr glhtu pjenhav wdcu yviv mlctyup jc sgfzxcuu","mzpTsda uaqzt pwhlbem qicf aovm iictpmh da zjsgamra","51"
"359","ro","Soarele răsare pentru toți fără deosebire de avere sau rang","Soarele rasare pentru toti fara deosebire de avere sau rang","Vrduhoh udvduh shqwux wrwl idud ghrvheluh gh dyhuh vdx udqj","Vdrlhav ldhrlh evhwgl nriz zdgr xhdjyexiy gt rphgv mdj iuqv","tfeIutq itqlfu qqiwdv btju jrdf fucqzcrpl vh duodz qia fvix","59"
"360","ro","Omul bun este bun oriunde s-ar afla și oricui ar întâlni","Omul bun este bun oriunde s-ar afla si oricui ar intalni","Rpxo exq hvwh exq rulxqgh v-du diod vl rulfxl du lqwdoql","Rblf eje yviv vxc flljexh h-rl ducu vx fllrlc dg zhwpchl","gkzU tcl livm iit rgrzqtl t-qu aarf mt igmudt tq fjqhbmt","56"
"361","ro","Lumina vine după întuneric și speranța după deznădejde","Lumina vine dupa intuneric si speranta dupa deznadejde","Oxplqd ylqh gxsd lqwxqhulf vl vshudqwd gxsd ghcqdghmgh","Ojdcqp mcqt uosp zhwjeyuxt ml hgyupend sljd svtqpuymsv","mzhYfm xoyp hxaq sjczrbloa pc qhtdwalz ssft pfichsxaoi","54"
"362","ro","Cine ride la urmă râde mai bine și mai dulce decât toți","Cine ride la urma rade mai bine si mai dulce decat toti","Flqh ulgh od xupd udgh pdl elqh vl pdl gxofh ghfdw wrwl","Fxey uxuy op llpp iugt dul qzhh hz gdx uoorv xhrrn wdkc","crrG lcaa th hyta hvap xdf qtjd qr qjy faruu yiwqu mfbn","55"
"363","ro","Natura nu face salturi, merge pas cu pas spre desăvârșire","Natura nu face salturi, merge pas cu pas spre desavarsire","Qdwxud qx idfh vdowxul, phujh sdv fx sdv vsuh ghvdyduvluh","Qpkoup eo ipty vpcnxgz, ghgxy spj wx erm veiy gtjuypimlgv","yhhXny al chhv pwimddd, rjcqr bhl sz oru clpi vadzohdcvti","57"
"364","ro","Tot omul este deopotrivă un rege și un cerșetor în diferite clipe","Tot omul este deopotriva un rege si un cersetor in diferite clipe","Wrw rpxo hvwh ghrsrwulyd xq uhjh vl xq fhuvhwru lq glihulwh folsh","Wdk ipjc yviv xhdgiwgzpd je lhvv ml je whgjywdi cq szzhgznh rccst","vfz Bnch mrvf iivqdhdzbj tf loiz qi bt lcdfqzmb vj sdxjwqjm upqms","65"
"365","ro","Lauda din gura proprie miroase urât și îndepărtează prietenii","Lauda din gura proprie miroase urat si indeparteaza prietenii","Odxgd glq jxud sursulh plurdvh xudw vl lqghsduwhdcd sulhwhqll","Oplxd szh jjiu sgfjuxv glgfuvt lldi jc lcuyspinhpqu sgzywtecl","rhsYt qfj azdz vzsgdrd aiatgtp vitm fz cmhtawsvahdq xcsjmpblt","61"
"366","ro","Noaptea aduce sfat și dimineața aduce claritate și hotărâre","Noaptea aduce sfat si dimineata aduce claritate si hotarare","Qrdswhd dgxfh vidw vl glplqhdwd dgxfh fodulwdwh vl krwduduh","Qdrjwtr ugjty vurn vx ucpxeydir ugjty farllirnh hz brirldgv","zfpXuab uczad pwiu mr riachlavz fucdp tevguwtuk qv qjtuudfi","59"
"367","ro","Omul este măsura tuturor lucrurilor, spunea filosoful antic","Omul este masura tuturor lucrurilor, spunea filosoful antic","Rpxo hvwh pdvxud wxwxuru oxfuxuloru, vsxqhd ilorvrixo dqwlf","Rblf hhky ppjoup kowjiiu alwujicodi, msjeyd uzfrhfzxa rhwxt","gkqU tcqn yhhhzy anvzebv batmzfavoy, vczasl gfjjqeugq rurbp","59"
"368","ro","Iubește și fă ce vrei, pentru că dragostea nu poate greși","Iubeste si fa ce vrei, pentru ca dragostea nu poate gresi","Lxehvwh vl id fh yuhl, shqwux fd gudjrvwhd qx srdwh juhvl","Ljsyviv ml ur wh kiyl, evhwgl wd siujdjnhp eo sdrnh viyvx","czvTsoi ib an tu cqvq, ldtibb ta sffvwzzyh fq lwsuc irqvi","57"
"369","ro","Gândește global, acționează local pentru binele comunității tale","Gandeste global, actioneaza local pentru binele comunitatii tale","Jdqghvwh joredo, dfwlrqhdcd orfdo shqwux elqhoh frpxqlwdwll wdoh","Jpexhhky jafvda, rwwxfhhpqu odtuo evhwgl vlcvfh rfgxczndizc wpcy","rhqZlcqn ieezgb, fuqrhbgaqx aflyp qyiidm btgtid umqgwrjmvhf jcbm","64"
"370","ro","Binele pe care îl faci azi este speranța și bucuria de mâine","Binele pe care il faci azi este speranta si bucuria de maine","Elqhoh sh fduh lo idfl dcl hvwh vshudqwd vl exfxuld gh pdlqh","Exeyot gy fpiy la wufx rtl tjnh hgyupend hz vxrlllp uy ppzhh","crpLlc yd cheg va tbpr pgu wtzc qhqdwali qu fjtrtch ht aqhjq","60"
"371","ro","Prietenia adevărată se recunoaște la greu nu la bine","Prietenia adevarata se recunoaste la greu nu la bine","Sulhwhqld dghydudwd vh uhfxqrdvwh od juhx qx od elqh","Sgzywtecd puyypiuwp jy uttoqdrmwt cu jgvo qj cu exey","cdpSjmblc hhfaacvch pb zyapofpxua bm ydzz ia xm crll","52"
"372","ro","La drum lung și sacul greu și prietenul bun la nevoie","La drum lung si sacul greu si prietenul bun la nevoie","Od guxp oxqj vl vdfxo juhx vl sulhwhqxo exq od qhyrlh","Op ulxb coqv jc vptoo viyx hz juxvnhclf eje fd cvprxv","th kYay rmmi hx zyipc iqyv zr jwrmaigqt gzm ll hfirui","53"
"373","ro","Cine se aseamănă se adună și împreună fac lucruri mari","Cine se aseamana se aduna si impreuna fac lucruri mari","Flqh vh dvhdpdqd vh dgxqd vl lpsuhxqd idf oxfuxul pdul","Fxey vt rmhpduqp jy dslhd hz cpeiyxcr zdr cofglll brll","crpG lo iuahhqfc xz qsqft mf jclmhvjr uyu dfmtgtt ktut","54"
